56	97	1
56	77	1
56	80	1
56	75	1
56	43	1
56	106	1
56	33	1
56	104	1
56	61	1
56	40	1
56	42	1
97	77	1
97	80	1
97	75	1
97	43	1
97	106	1
97	33	1
97	104	1
97	61	1
97	40	1
97	42	1
77	80	1
77	75	1
77	43	1
77	106	1
77	33	1
77	104	1
77	61	1
77	40	1
77	42	1
80	75	1
80	43	1
80	106	1
80	33	1
80	104	1
80	61	1
80	40	1
80	42	1
75	43	1
75	106	1
75	33	1
75	104	1
75	61	1
75	40	1
75	42	1
43	106	1
43	33	1
43	104	1
43	61	1
43	40	1
43	42	1
106	33	1
106	104	1
106	61	1
106	40	1
106	42	1
33	104	1
33	61	1
33	40	1
33	42	1
104	61	1
104	40	1
104	42	1
61	40	1
61	42	1
40	42	1
